series_id,series_name,date,value
CES0000000001,Total Nonfarm Employment (thous),2023-01-01,154780.0
CES0000000001,Total Nonfarm Employment (thous),2023-02-01,155086.0
CES0000000001,Total Nonfarm Employment (thous),2023-03-01,155171.0
CES0000000001,Total Nonfarm Employment (thous),2023-04-01,155387.0
CES0000000001,Total Nonfarm Employment (thous),2023-05-01,155614.0
CES0000000001,Total Nonfarm Employment (thous),2023-06-01,155871.0
CES0000000001,Total Nonfarm Employment (thous),2023-07-01,156019.0
CES0000000001,Total Nonfarm Employment (thous),2023-08-01,156176.0
CES0000000001,Total Nonfarm Employment (thous),2023-09-01,156334.0
CES0000000001,Total Nonfarm Employment (thous),2023-10-01,156520.0
CES0000000001,Total Nonfarm Employment (thous),2023-11-01,156661.0
CES0000000001,Total Nonfarm Employment (thous),2023-12-01,156930.0
CES0000000001,Total Nonfarm Employment (thous),2024-01-01,157049.0
CES0000000001,Total Nonfarm Employment (thous),2024-02-01,157271.0
CES0000000001,Total Nonfarm Employment (thous),2024-03-01,157517.0
CES0000000001,Total Nonfarm Employment (thous),2024-04-01,157635.0
CES0000000001,Total Nonfarm Employment (thous),2024-05-01,157828.0
CES0000000001,Total Nonfarm Employment (thous),2024-06-01,157915.0
CES0000000001,Total Nonfarm Employment (thous),2024-07-01,158003.0
CES0000000001,Total Nonfarm Employment (thous),2024-08-01,158074.0
CES0000000001,Total Nonfarm Employment (thous),2024-09-01,158314.0
CES0000000001,Total Nonfarm Employment (thous),2024-10-01,158358.0
CES0000000001,Total Nonfarm Employment (thous),2024-11-01,158619.0
CES0000000001,Total Nonfarm Employment (thous),2024-12-01,158942.0
CES0000000001,Total Nonfarm Employment (thous),2025-01-01,159053.0
CES0000000001,Total Nonfarm Employment (thous),2025-02-01,159155.0
CES0000000001,Total Nonfarm Employment (thous),2025-03-01,159275.0
CES0000000001,Total Nonfarm Employment (thous),2025-04-01,159433.0
CES0000000001,Total Nonfarm Employment (thous),2025-05-01,159452.0
CES0000000001,Total Nonfarm Employment (thous),2025-06-01,159439.0
CES0000000001,Total Nonfarm Employment (thous),2025-07-01,159511.0
CES0000000001,Total Nonfarm Employment (thous),2025-08-01,159507.0
CES0000000001,Total Nonfarm Employment (thous),2025-09-01,159626.0
CES0500000003,"Avg Hourly Earnings, Private ($)",2023-01-01,33.05
CES0500000003,"Avg Hourly Earnings, Private ($)",2023-02-01,33.16
CES0500000003,"Avg Hourly Earnings, Private ($)",2023-03-01,33.28
CES0500000003,"Avg Hourly Earnings, Private ($)",2023-04-01,33.42
CES0500000003,"Avg Hourly Earnings, Private ($)",2023-05-01,33.52
CES0500000003,"Avg Hourly Earnings, Private ($)",2023-06-01,33.69
CES0500000003,"Avg Hourly Earnings, Private ($)",2023-07-01,33.84
CES0500000003,"Avg Hourly Earnings, Private ($)",2023-08-01,33.89
CES0500000003,"Avg Hourly Earnings, Private ($)",2023-09-01,33.99
CES0500000003,"Avg Hourly Earnings, Private ($)",2023-10-01,34.07
CES0500000003,"Avg Hourly Earnings, Private ($)",2023-11-01,34.19
CES0500000003,"Avg Hourly Earnings, Private ($)",2023-12-01,34.31
CES0500000003,"Avg Hourly Earnings, Private ($)",2024-01-01,34.47
CES0500000003,"Avg Hourly Earnings, Private ($)",2024-02-01,34.54
CES0500000003,"Avg Hourly Earnings, Private ($)",2024-03-01,34.67
CES0500000003,"Avg Hourly Earnings, Private ($)",2024-04-01,34.75
CES0500000003,"Avg Hourly Earnings, Private ($)",2024-05-01,34.89
CES0500000003,"Avg Hourly Earnings, Private ($)",2024-06-01,35.0
CES0500000003,"Avg Hourly Earnings, Private ($)",2024-07-01,35.07
CES0500000003,"Avg Hourly Earnings, Private ($)",2024-08-01,35.23
CES0500000003,"Avg Hourly Earnings, Private ($)",2024-09-01,35.33
CES0500000003,"Avg Hourly Earnings, Private ($)",2024-10-01,35.48
CES0500000003,"Avg Hourly Earnings, Private ($)",2024-11-01,35.61
CES0500000003,"Avg Hourly Earnings, Private ($)",2024-12-01,35.68
CES0500000003,"Avg Hourly Earnings, Private ($)",2025-01-01,35.83
CES0500000003,"Avg Hourly Earnings, Private ($)",2025-02-01,35.9
CES0500000003,"Avg Hourly Earnings, Private ($)",2025-03-01,36.02
CES0500000003,"Avg Hourly Earnings, Private ($)",2025-04-01,36.08
CES0500000003,"Avg Hourly Earnings, Private ($)",2025-05-01,36.23
CES0500000003,"Avg Hourly Earnings, Private ($)",2025-06-01,36.31
CES0500000003,"Avg Hourly Earnings, Private ($)",2025-07-01,36.43
CES0500000003,"Avg Hourly Earnings, Private ($)",2025-08-01,36.58
CES0500000003,"Avg Hourly Earnings, Private ($)",2025-09-01,36.67
LNS11300000,Labor Force Participation Rate (%),2023-01-01,62.4
LNS11300000,Labor Force Participation Rate (%),2023-02-01,62.5
LNS11300000,Labor Force Participation Rate (%),2023-03-01,62.6
LNS11300000,Labor Force Participation Rate (%),2023-04-01,62.6
LNS11300000,Labor Force Participation Rate (%),2023-05-01,62.6
LNS11300000,Labor Force Participation Rate (%),2023-06-01,62.6
LNS11300000,Labor Force Participation Rate (%),2023-07-01,62.6
LNS11300000,Labor Force Participation Rate (%),2023-08-01,62.8
LNS11300000,Labor Force Participation Rate (%),2023-09-01,62.7
LNS11300000,Labor Force Participation Rate (%),2023-10-01,62.7
LNS11300000,Labor Force Participation Rate (%),2023-11-01,62.8
LNS11300000,Labor Force Participation Rate (%),2023-12-01,62.5
LNS11300000,Labor Force Participation Rate (%),2024-01-01,62.5
LNS11300000,Labor Force Participation Rate (%),2024-02-01,62.6
LNS11300000,Labor Force Participation Rate (%),2024-03-01,62.7
LNS11300000,Labor Force Participation Rate (%),2024-04-01,62.7
LNS11300000,Labor Force Participation Rate (%),2024-05-01,62.6
LNS11300000,Labor Force Participation Rate (%),2024-06-01,62.6
LNS11300000,Labor Force Participation Rate (%),2024-07-01,62.7
LNS11300000,Labor Force Participation Rate (%),2024-08-01,62.7
LNS11300000,Labor Force Participation Rate (%),2024-09-01,62.7
LNS11300000,Labor Force Participation Rate (%),2024-10-01,62.5
LNS11300000,Labor Force Participation Rate (%),2024-11-01,62.5
LNS11300000,Labor Force Participation Rate (%),2024-12-01,62.5
LNS11300000,Labor Force Participation Rate (%),2025-01-01,62.6
LNS11300000,Labor Force Participation Rate (%),2025-02-01,62.4
LNS11300000,Labor Force Participation Rate (%),2025-03-01,62.5
LNS11300000,Labor Force Participation Rate (%),2025-04-01,62.6
LNS11300000,Labor Force Participation Rate (%),2025-05-01,62.4
LNS11300000,Labor Force Participation Rate (%),2025-06-01,62.3
LNS11300000,Labor Force Participation Rate (%),2025-07-01,62.2
LNS11300000,Labor Force Participation Rate (%),2025-08-01,62.3
LNS11300000,Labor Force Participation Rate (%),2025-09-01,62.4
LNS12300000,Employment-Population Ratio (%),2023-01-01,60.2
LNS12300000,Employment-Population Ratio (%),2023-02-01,60.3
LNS12300000,Employment-Population Ratio (%),2023-03-01,60.4
LNS12300000,Employment-Population Ratio (%),2023-04-01,60.4
LNS12300000,Employment-Population Ratio (%),2023-05-01,60.3
LNS12300000,Employment-Population Ratio (%),2023-06-01,60.3
LNS12300000,Employment-Population Ratio (%),2023-07-01,60.4
LNS12300000,Employment-Population Ratio (%),2023-08-01,60.4
LNS12300000,Employment-Population Ratio (%),2023-09-01,60.4
LNS12300000,Employment-Population Ratio (%),2023-10-01,60.2
LNS12300000,Employment-Population Ratio (%),2023-11-01,60.4
LNS12300000,Employment-Population Ratio (%),2023-12-01,60.1
LNS12300000,Employment-Population Ratio (%),2024-01-01,60.2
LNS12300000,Employment-Population Ratio (%),2024-02-01,60.1
LNS12300000,Employment-Population Ratio (%),2024-03-01,60.3
LNS12300000,Employment-Population Ratio (%),2024-04-01,60.2
LNS12300000,Employment-Population Ratio (%),2024-05-01,60.1
LNS12300000,Employment-Population Ratio (%),2024-06-01,60.0
LNS12300000,Employment-Population Ratio (%),2024-07-01,60.0
LNS12300000,Employment-Population Ratio (%),2024-08-01,60.0
LNS12300000,Employment-Population Ratio (%),2024-09-01,60.1
LNS12300000,Employment-Population Ratio (%),2024-10-01,60.0
LNS12300000,Employment-Population Ratio (%),2024-11-01,59.8
LNS12300000,Employment-Population Ratio (%),2024-12-01,60.0
LNS12300000,Employment-Population Ratio (%),2025-01-01,60.1
LNS12300000,Employment-Population Ratio (%),2025-02-01,59.9
LNS12300000,Employment-Population Ratio (%),2025-03-01,59.9
LNS12300000,Employment-Population Ratio (%),2025-04-01,60.0
